kingsnows1759	0.8532777,0.39504713
ernesto_griffin	0.3579099,0.33408105
_giannawest	0.8755414,0.5716798
flipsville	0.8748467,0.6389451
rock0040	0.81103736,0.40146244
brandonjlandry	0.01774571,0.84398144
journo_christal	0.8110343,0.40145737
akoulanda	1.2415338,0.43903646
argopantas	0.89282465,0.66363233
thehill	0.45558435,0.56645066
trustedtrevor	0.3209928,0.3259016
sftnewton	-0.011960055,0.38918552
bill4990	0.30022037,0.86153364
ben_therednetht	0.83669204,0.684577
tweetsoulss	1.0710713,-1.8269963
buqysuciwory	0.7993664,0.63630074
capriojuliet	0.5166073,0.82191926
terramathias	1.1896095,0.43040946
jmh3250	0.54786545,0.7941914
rnrarizona	-0.0028362328,0.7541792
sweepskim	0.013357485,0.78454906
cjbrim18	0.49271753,0.8853109
janetted_mnit	1.1198674,1.0965786
chrisbrey1	0.87017554,0.67469704
zackforex	0.77930725,0.058277838
uberfactsnigga	1.1299534,-1.8663836
kommandoradio	0.58186114,0.2677422
sammyylaw	0.5553895,0.88638335
lipoxoweliz	0.8138875,0.63272166
drew_review	0.26322424,0.34962365
the_elpresador	0.3956284,0.30462998
leodarapper23	0.8853473,0.648633
juancplascencia	0.8243265,0.4939369
clairebear3317	-0.5055207,1.3520788
tortugaconqueso	0.32110617,0.36330888
notesfromnorm	0.37384704,0.29491207
trvdante	0.32002327,0.8553645
katietokesit	1.4021745,-2.3598776
sergeant_fisher	0.47259146,0.5184282
travelinmal	-0.13161449,0.62975234
shabazz916	1.241795,1.5830315
arethesedope	1.1886667,-1.8770678
ms_ses	0.8365858,0.67082196
chriscuomo	0.8706336,0.72724086
mac17266088	0.66529423,0.7018547
davewright1968	0.3946146,0.7437653
mrweedaddict	1.3849864,-2.3558438
villikilpikonna	0.8259548,0.5716997
abeguish	0.5499311,0.22112396
zbeeblebrox42nc	0.091632485,0.8753374
vicenza77	1.2532538,0.6262497
chuk_smoov	1.1020324,1.0893956
trustory859	0.26761892,0.36345637
beachlvr21399	0.54338735,0.50874525
mq16a1_mike	0.51551324,0.843282
_evelynsalazar	0.77739763,0.35842577
spikeysan1984	0.57988334,0.8469361
catfishball	0.5696118,0.8593985
stewbal1	0.33177283,0.26288137
tahdeetz	0.19545785,0.7239932
fakeliampayne2	0.10734153,0.89386785
taypearson_	1.222954,0.18456379
yankee_msu	0.2894,0.8536408
romanthewolf1	0.8916629,0.564958
maureenellis23	0.8006631,0.39114645
nicolepence	0.49636474,0.55215734
braydenvassy	0.17133883,0.8469401
jemma352	0.80858994,0.36335477
raygully	0.73470926,0.32595083
sabrinaisdope	0.8748467,0.6389451
theratzpack	0.06527977,0.46423554
schizophre_nia	0.5556826,0.8259126
bhriscoffeli	0.4715174,0.8721144
nochillsavages	1.1731031,-1.8934014
colleenblahnik	0.5941851,0.8498754
thaprincetaylor	1.1051269,-1.7800025
grainax	0.6331199,0.23946391
brandon_efc	0.3707126,0.27380544
s00nerbred	0.3060363,0.8164367
gay_news_now	1.1694727,0.35323524
hassanaltarazi	0.26157668,1.0163965
charliekilo22	0.16712245,0.4682733
sammybajwa100	0.88186675,0.6265665
robbplummer24	0.85750884,0.5297541
ethanforhetzky3	0.848399,0.69328016
monica70601	0.94368696,0.7941594
usabillofrights	0.3813906,0.5600025
jayzlipsfam	1.0714192,-1.8006749
mark__bray	0.5911657,0.07129376
sirrattlesnake	0.2791489,0.28177258
nettep25	0.86612535,0.6521563
nazarenacabre11	0.5085897,1.0755687
truulifewisdom	0.3857516,-0.25659606
coondawg68	0.31636938,0.26402462
kevstuff	0.98616177,-0.23947132
wmccarron	0.2934104,0.30122486
adams_mattt	0.5630603,0.81131834
dunstanmj	0.5654507,0.815967
mcmxcivcrook	1.1413118,-1.8191799
maxcua	0.0927536,0.93772256
songokutho	1.0648122,-1.8889555
grampa194235	-0.13098623,0.6159346
newsjunkieswmo	0.5174286,0.89096063
diannetuco	0.3676592,0.5611708
yungdre_jbe	1.1721805,-1.8925447
lynsta7	0.35737848,1.0987397
kjbert	0.3822628,0.6205814
ucena53	0.7242799,0.33327547
smullnix	0.37323013,0.5712068
nothazel_	1.155398,0.43493956
keeton48	0.3237013,0.86905384
lucasriley1008	0.60179096,0.8148382
mskyari	1.2340816,1.5966693
im_just_me2000	0.5073915,0.866306
thegrahamslamm	0.23648208,0.9066638
masshole_alex47	0.48655853,0.89401406
niyahxx	1.2845452,0.17308666
christophervece	0.51737046,0.87807626
zachy_k	0.8957468,0.5913059
therightplanet1	0.12467335,0.762983
imrichjeff	-0.28455818,0.14612648
musclehunkslive	0.91195124,0.49292693
brandon_vaughn_	0.83155924,0.37656647
katzekraus	-0.10733495,0.5052847
totalfuckinfag	1.2680173,0.17455979
natashacbs3	0.34119573,0.05246266
mattjc73	0.29919538,0.8471388
toryrvgxr	1.143662,-1.7793306
rnrpennsylvania	0.011464623,0.7571527
g0dberto	0.91943616,-0.5786158
christiec733	0.8973814,0.48116595
andre2_jones	1.1756548,-1.8777964
rosieblisss	1.2789322,0.5204452
cheif_martin	0.97486436,-0.24841699
justinshambles	0.011464621,0.7571527
princess_nikpe	0.8226696,0.35334244
kish0rr	1.2848731,-0.11819996
senfrankniceley	0.07146912,0.8958534
sym4dvl	0.109217055,0.6918193
morgeson2song	0.45872447,0.4436493
briellecoronet	0.3504973,0.7209495
emyy_80	0.49902537,0.8977113
